,text
0,"- instead: ""two-track material assistance plan"": https://… "
1,"- instead: ""two-track material assistance plan"": https://… "
2,"- instead: ""two-track material assistance plan"": https://… "
3,".@DadyChery I agree. The UN has done a lot of harm to #Haiti in the last decade or so. First, it was cholera, rape + abuse. @1hugegHugues "
4,".@mccorg calls on UN to eliminate cholera, improve sanitation in #Haiti https://t.co/SBMxMSc3Rm #EndHaitiCholera # "
5,@AllenWest And Haiti continues to starve to death and is falling deathly ill to Cholera. Enjoy your freedom while it lasts.#expensivewedding 
6,@cynthiamckinney &amp; its also worth mentioning the UN's role in bringing Cholera 2 Haiti &amp; then lying about it 4 year… https://t.co/ZalNWPjuGK 
7,"@FreeBeacon @chandlergillDC Pity the UN didn't understand basic sanitation in Haiti. Nepalese peacekeepers, cholera, oops, my bad. "
8,@Haiti_Advocacy thanks 13 MoCs who called on @UN to Apologize and Fund #cholera eradication plan. https://t.co/khdU3WgETZ
9,"@JoelOsteen as u sit in yr multimillion $ home how do u sleep with i.e.: homeless, hungry kids, cholera in Haiti, supporting trumps rhetoric "
10,@justin24hr you're not in Haiti you don't have cholera 
11,@LornaDueck  Stopping Haiti cholera crisis caused by United Nations https://t.co/UQTS62Ac49 
12,@margotwallstrom Did UN´s responsibility for the Cholera Crisis in Haiti come up? 
13,@Morning_Joe what is cgi and Obama doing about cholera outbreaks and food shortages in Haiti? 
14,@SawlSceadu @YourAnonNews 
15,@TheStarKenya 
16,"@tonygoldwyn  @Americares Loved it ! At present I specially admire #Americares work in #Haïti, with choléra risk after dévastating hurricane "
17,@UN @UN_Water You should celebrate the Cholera that your UN soldiers brought to Haiti through un hygienic Mal practice of toilet use...Dance 
18,@UN https://t.co/WIeUfRUHsz  UN PEACEKEEPING THUGS DONT NEED NO STINKING TOILETS WITH A RIVER NEAR BY. 
19,@UN makes strides towards #cholerajustice! Here’s how to ensure they fulfill pledges to #endHaiticholera!  
20,@UN officials announced a $400M package to deal with cholera it imported to Haiti. But who will fund it?… https://t.co/I2ZQvVGe9T  
22,#Bangladeshi expat diagnosed with #cholera in #Oman https://t.co/OBqH5Dqwhp h/t Shiloh 
23,"#BanKiMoon says “everything I do is to give hope.” Really? #Yemen, #Haiti cholera - &amp; censorship: https://t.co/bDyNnnlkgW "
24,#Cayman Compass: Cayman Water donation helps cholera relief in Haiti https://t.co/6d6CL9melO 
25,#Cholera flare in Haiti following Hurricane Mathew; mass vaccination campaign w/ single dose vaccine: https://t.co/cECEpcale6 
26,#Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/Rk1FmpZuec… https://t.co/oh9BImP2qv 
27,#Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z… https://t.co/FdHdXhj6NR 
28,#Cholera: The @UN is taking advantage of the Current Situation in #Haiti | @DadyChery on @radiosputnik… https://t.co/FGk5MvVRry 
29,#endHaiticholera! 
30,#get_thrive https://t.co/74Zwdkoj1f https://t.co/fChCi2P6VN 
31,#Haiti  https://t.co/d9AXKx3uEF 
32,"#Haiti @PAHO and @UNICEF supported the Government to vaccinate against #cholera 730,000 persons affected by Matthew… https://t.co/X3k7f6PIN0 "
33,#Haiti Launches Largest Ever #Cholera Vaccination Campaign - https://t.co/ievyisxKTS https://t.co/DmDcGPbtXg 
34,#HAITI: 'Cholera Epidemic' Sponsored by #UN
35,#HAITI: 'Cholera Epidemic' Sponsored by #UN
36,"#Haiti’s Ministry of Health &amp; #globalhealth partners have vaccinated 729,000 people against #cholera:… https://t.co/9MWEB5jYjt "
37,#MorningJoe: #Cholera Rips through #Haiti after #HurricaneMatthew [VIDEO] | https://t.co/yiX0Njiz8B by @haitisentinel @mighty6ft5max 
38,"#PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides $750,000 To Impacted https://t.co/2W4CRSimTc "
39,#prnewswire  PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides https://t.co/k3a3T3ByQ7 
40,#prnewswire  PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides https://t.co/k3a3T3T9HF 
41,#prnewswire  PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides https://t.co/YaFZS4H2RX 
42,#SalvationArmy responds to #Cholera outbreak in #Haiti. Read more: https://t.co/0Q8RfzJyC9 #HurricaneMatthew https://t.co/7fWVii8XSM 
43,#Words #word #language: 'Think you know how to pronounce bruschetta &amp; GIF? Chances are you're saying it wrong.... https://t.co/TdROsJrDeR 
44,13 US Congresspersons Write UNSG Ban Urging Formal Apology &amp; Renewed Urgency on Haiti Cholera; Also Urge US funding https://t.co/k6CGx0coHX 
45,1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe… https://t.co/agSi0yWPF9 
46,1M people in desperate need of relief aid in #Haiti. See how we're... https://t.co/0Hsw8VrPYa by #cellmembrane416 via @c0nvey 
47,1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe… https://t.co/2XrTXwpNli 
48,"24, CMC – The Pan American Health Organization (PAHO) says Haiti's… https://t.co/fbOuNOizvM | #Follow @MrKoolodo "
49,90 mins from Miami...Think about it if we knew a situation like this just outside of Richmond VA; Fredericksburg... https://t.co/My4KP2uBrZ 
50,"A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds… https://t.co/B4WmCxhSee "
51,"A month later, visited Haiti and saw children dieing from Cholera...wanted to help w/ Brendan Ridings https://t.co/pAjzdIttmX #podcast "
52,A Trek to the Heart of #Haiti’s #Cholera Epidemic: https://t.co/YK4zGkyjOK (via @nytimes) #HurricaneMatthew https://t.co/xqejSFh50a 
53,"After #HurricaneMatthew, Haiti launches largest initiative ever to vaccinate against #Cholera: https://t.co/4keDQTlEAV @nprscience "
54,"After Admitting Role in Haiti Cholera Crisis (years after), UN Donates $400M #socialism https://t.co/rv73kKyfIQ "
55,"After Admitting Role in Haiti Cholera Crisis (years after), UN Donates $400M via /r/socialism … https://t.co/QRBvsBQnss "
56,"After Admitting Role in Haiti Cholera Crisis, UN Donates $400M https://t.co/47SL5XPXAL "
57,"After Admitting Role in Haiti Cholera Crisis, UN Donates $400M https://t.co/qBw0Ul9fCk "
58,"After Admitting Role in Haiti Cholera Crisis, UN Donates $400M https://t.co/vOZwHQviIM "
59,"After Admitting Role in Haiti Cholera Crisis, UN Donates $400M https://t.co/WdXlfJiTkm "
60,Aftermath of Hurricane Matthew in the south of Hai… 
61,Alston: 'If the @UN bluntly refuses to hold itself accountable for #HR violations ... (Part1/2) https://t.co/nBD8NNHh7U 
62,An MSNBC story aired this morning regarding the difficulty... https://t.co/UPwloVwKSS 
63,Ban Ki-moon @France24_en twice refuses to formally apologize for 2010 cholera outbreak in #Haiti https://t.co/410i9eweKr #UN 
64,"Ban's failings in Haiti are one of the worst stains on his legacy, and the clock is running down… https://t.co/vWAiXYVnR7 "
65,"Being a female dandy in Kinshasa Role In Bringing Cholera To Haiti 17,049: Welcome "
66,"Bravo #Haiti: Ministry of Health successfully vaccinates 729, 000 persons against #cholera: https://t.co/MLuaKjTc8x… https://t.co/dBOx6sE9Jx "
67,"Bravo #Haiti: Ministry of Health successfully vaccinates 729, 000 persons against... https://t.co/IqtaTmPCZG "
68,Can Ban Ki-moon leave his sec gen post without issuing a public apology for UN-imported cholera in Haiti?… https://t.co/OZi5RqucfX 
69,"Check out ""Holding the UN to account for Cholera in Haiti: Are lawyers the real problem?"" https://t.co/8DlXZlSpJn via @EventbriteUK "
70,"Check out ""Holding the UN to account for Cholera in Haiti: Are lawyers the real problem?"" https://t.co/s18uUvl6ZK via @EventbriteUK "
71,"Cholera excludes no one –Nurse Christine, #Haiti. https://t.co/LFgz3VYOjW https://t.co/FcB0MhfZZc "
72,"Cholera in Haiti very sad story.Never endemic to Haiti,was brought there by infected Nepalese UN workers post-earth… https://t.co/oFor62wSEF "
73,Cholera Outbreak Rips Through #Haiti https://t.co/SYMScnOvtY https://t.co/4olHkxLAHR 
74,Cholera outbreak rips through Haiti
75,Cholera outbreak rips through Haiti 
76,Cholera outbreak rips through Haiti 
77,Cholera Outbreak Rips Through Haiti - https://t.co/DgLhbVRdU8 
78,Cholera outbreak rips through Haiti - https://t.co/JSKx1y9EMF https://t.co/LXaCwFDtPR 
79,Cholera outbreak rips through Haiti - MSNBC https://t.co/3W1cEdyuHi 
80,Cholera Outbreak Rips Through Haiti Following Hurricane Matthew | Mornin... https://t.co/OhnwOKOYq2 via @YouTube 
81,Cholera outbreak rips through Haiti https://t.co/2KlUfESVu8 https://t.co/u4UkifX2d2 
82,Cholera outbreak rips through Haiti https://t.co/31bIbLke7d #msnbc #news https://t.co/T7CMkNuC64 
83,Cholera outbreak rips through Haiti https://t.co/5T5AfCG524 https://t.co/OrzwR4qcNh 
84,Cholera outbreak rips through Haiti https://t.co/5ZHAtTSw0a https://t.co/EXun1aF9Bh 
85,Cholera outbreak rips through Haiti https://t.co/7r0dPstXG7 https://t.co/Bmrxn17U1X 
86,Cholera outbreak rips through Haiti https://t.co/aakGg5DPsq https://t.co/yOxQINnaIE 
87,Cholera outbreak rips through Haiti https://t.co/aHcscLlDAa https://t.co/jmhfblp2gI 
88,Cholera outbreak rips through Haiti https://t.co/Ba75pNWg1T 
89,Cholera outbreak rips through Haiti https://t.co/BS186VedUo via @msnbc 
90,Cholera outbreak rips through Haiti https://t.co/fRArqy8h0w https://t.co/FLwwmTkIGI 
91,Cholera outbreak rips through Haiti https://t.co/JGxRMu02i0 https://t.co/Hb8c4JbVO0 
92,Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
93,Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/rKn9VOkUfp 
94,Cholera outbreak rips through Haiti https://t.co/l8sKiKEVmb 
95,Cholera outbreak rips through Haiti https://t.co/MMNPAdNoWj https://t.co/CmdF5M5ADn 
96,Cholera outbreak rips through Haiti https://t.co/NAOAtRw2QO 
97,Cholera outbreak rips through Haiti https://t.co/nzngp70TBE https://t.co/DRao2USqXW 
98,Cholera outbreak rips through Haiti https://t.co/Q1zZOnybpc https://t.co/6SXrZ4eizo 
99,Cholera outbreak rips through Haiti https://t.co/UPNZcHEepx https://t.co/IVjGoIXkUW 
100,Cholera outbreak rips through Haiti https://t.co/vltgqRq2AL https://t.co/zZrpiV9I8f 
101,Cholera outbreak rips through Haiti https://t.co/Wh6xvXNSPB 
102,Cholera outbreak rips through Haiti https://t.co/yoCHa8Dus9 https://t.co/cGAr413UEI 
103,Cholera outbreak rips through Haiti via @msnbc 
104,Cholera outbreak rips through Haiti via @msnbc 
105,Cholera rises in southern Haiti in wake of Hurricane #pray4haiti #caribana #haitiupdate https://t.co/vGsXJb6Eyp https://t.co/TRfkqFWFYn 
106,Data indicate that 82 % of the targeted population in 16 communes of Grand’Anse -Sud #Haiti received #cholera vaccination between 8-18 Nov. 
107,"Day 2 of 30: Doctors with HCR Port Salut, Sud, Haiti, inventory anti-cholera medicine. This was one of three... https://t.co/YpV8Yx6BYp "
108,DEADLY RIVER: Cholera and Cover-Up in Post-Earthquake Haiti -- See more @ILRpress titles at booth 618!… https://t.co/GgZP5fBuAU 
109,deception https://t.co/iD1ARyC88b
110,disease https://t.co/n9y8iPFqIW
111,"Elimen wrote @UN on #cholera it caused &amp; covered up: ""I ask for justice &amp; reparations."" @HaitiJustice @ijdh @POTUS https://t.co/MqmHjGobKv "
112,Font forget Haiti...... They are now dealing cholera and other diseases after that hurricane. Entlek the whole worl… https://t.co/IIbXw0jrSH 
113,"FreddyLink Water, Sanitation and Hygiene fundraiser launched today to combat cholera in Haiti. Donate at… https://t.co/tv5VIdsjHk "
114,"Genevieve wrote @UN on #cholera it caused: ""I almost died, but God saved my life."" @HaitiJustice @ijdh @POTUS https://t.co/qIQEg2NeJI "
115,"Genevieve wrote @UN: ""I certify that I am a victim of the #cholera sickness the Nepali @MINUSTAH brought to Haiti."" @HaitiJustice @ijdh "
116,"Gerneus wrote @UN on #cholera:""My parents ran with me to the hospital. In 3 days, they gave me a lot of serum.""@ijdh https://t.co/O7eKw5oIQn "
117,"Gerneus wrote @UN:""I certify that I was a victim of #cholera in Dec 2010 after  @MINUSTAH brought the sickness to Haiti.""@HaitiJustice @ijdh "
118,Goog... good work. https://t.co/vWDCyWYS39 
119,Haití - https://t.co/Ak990WhuZ3 Haiti begins vaccination campaign against cholera in areas most affected by Hurricane Matthew 
120,Haití - https://t.co/SEcYAsrO0T Haiti begins vaccination campaign against cholera in areas most affected by Hurricane Matthew 
121,Haiti in a Time of Cholera – REWIND https://t.co/4qxjoI6NZf 
122,Haiti in a Time of Cholera – REWIND https://t.co/QPaf3cCY1G 
123,Haiti in a Time of Cholera – REWIND https://t.co/XKi9FUFWCz 
124,Haiti is still reeling in the wake of Hurricane Matthew. We embedded with @Americares on the ground. #Morningjoe 
125,Haiti Launches Largest-Ever Cholera Vaccination Campaign  https://t.co/GIqDZGaRFl https://t.co/YJkVhkiIBE 
126,Haiti launches massive cholera vaccination drive but worries remain https://t.co/jvLx0O6Bnc 
127,"Haiti recently launched the largest emergency cholera vaccination campaign ever attempted. The plan is to try to vaccinate 800,000 people. "
128,Haiti vaccinating nearly 1 million for cholera in storm zone https://t.co/5cB7mloymF 
129,"Haiti, cholera vaccination campaign has started! via: @gavialliance  "
130,"Haiti: Consultancy, Formulation of a long-term IFRC led WASH Programme Proposal for Haiti with a focus upon ... - https://t.co/WGmysNApEx "
131,"Haiti: Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/BbYgC0ndI9 "
132,"Haiti: Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/SF4wGcHrDk "
133,"Haiti: Mennonite Central Committee fights cholera, supports Haitian farmers after hurricane https://t.co/PNXGVsXBW9 "
134,"Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
135,"Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
136,"Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
137,Haiti’s Ministry of Health (M… https://t.co/54mQFDQ7dJ 
138,"Haiti’s Ministry of Health successfully vaccinates  729, 000 persons against cholera https://t.co/wrP4plph6m https://t.co/7OSX3O1PYN "
139,"Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against #cholera, via @pahowho… https://t.co/CAjuZkPrTP "
140,"Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera"
141,"Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/DmmKZI29GH "
142,"Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/TPOCzsbKI3 via @reliefweb "
143,HAWG recommends: Update on Cholera Advocacy. Thank you to all who have supported our #endHaiticholera campaign!
144,HELPING TO RAISE AWARENESS for HAITIAN CHOLERA PLIGHT
145,"His mission is to destroy Haiti by any mean, infect these people "
146,Holding the UN to account for Cholera in Haiti: Are lawyers the real problem?  - Friday 2 December 2016  https://t.co/PfaO5mrDqr 
147,Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.co/hyEdrn3Nzr 
148,ht… 
149,ht… 
150,ht… 
151,ht… 
152,ht… 
153,ht… 
154,ht… 
155,ht… 
156,ht… 
157,ht… 
158,ht… 
159,https://t.co/… 
160,https://t.co/… 
161,"https://t.co/0TF9UtRyNy Haiti successfully vaccinates 729, 000 persons against cholera - Antigua Observer https://t.co/nGc6ipoteH "
162,"https://t.co/0TF9UtRyNy Haiti's Ministry of Health successfully vaccinates 729, 000 persons against cholera - R... https://t.co/lZe2iAcGVq "
163,"https://t.co/0TF9UtRyNy Mennonite Central Committee fights cholera, supports Haitian farmers after hurricane - ... https://t.co/6MX8AF5QUJ "
164,https://t.co/0TF9Uu99F6 U.N. Watch: Haiti's cholera stain - Tribune-Review https://t.co/jVqYNAz0Zi 
165,https://t.co/6uhZsZlY6W 
166,https://t.co/CpVeO5JcId 
167,https://t.co/LUglZyuryp
168,https://t.co/Nf7Dp2Yfpu
169,https://t.co/vMYGlD6QnH 
170,https://t.co/vxxacnUn7t 
171,https://t.co/z7FprjbV47 
172,https://t.co/z7FprjbV47 
173,https://t.co/z7FprjbV47 
174,"Hurricane Matthew may be gone, but Haiti is dealing with an increase in Cholera cases in the aftermath. We're there… https://t.co/JHBBvNJqUn "
175,"Hurricane Matthew may be gone, but Haiti is dealing with an increase in Cholera cases in the aftermath. We're there… https://t.co/roIu66sSMw "
176,I love my life. #Baseball #Haiti #WatchBetter https://t.co/BQ3rR0aMq1 https://t.co/boNoiMW6eO 
177,"If @UN had not dumped its raw sewage in #Haiti's rivers, Charit Vilena would not have had #cholera.@HaitiJustice @ijdh @POTUS #ShareHumanity "
178,"If @UN had not dumped its raw sewage in #Haiti's rivers, Jeòm Janbaptis wouldn't have had #cholera.@HaitiJustice @ijdh @POTUS #ShareHumanity "
179,"If @UN had not dumped its raw sewage in #Haiti's rivers, Ylus Elvieus would not have had #cholera. @HaitiJustice @ijdh @POTUS #ShareHumanity "
180,"If @UN had not dumped its raw sewage in Haiti's rivers, Genevieve Jean Louis would not have had #cholera. @HaitiJustice @ijdh #ShareHumanity "
